ticket_id,customer_id,issue_type,priority,resolution_days,satisfaction_score
3731,1520,Technical,High,13,4
3732,10217,Login,Low,1,3
3733,14638,Technical,High,3,1
3734,8628,Billing,High,3,1
3735,5271,Technical,Low,14,1
3736,3973,Refund,Low,8,1
3737,10506,Speed,Low,9,5
3738,8397,Network,Medium,10,3
3739,4042,Refund,High,1,4
3740,10687,Technical,Medium,8,4
3741,3056,Speed,High,1,5
3742,2925,Speed,Low,6,1
3743,1736,Refund,Medium,14,5
3744,10322,Network,Medium,18,4
3745,7564,Network,Low,3,5
3746,2456,Billing,Medium,17,4
3747,4087,Billing,Low,12,1
3748,10220,Login,Low,13,3
3749,10222,Refund,High,1,3
3750,8224,Technical,Medium,17,2
3751,8509,Refund,High,18,5
3752,2496,Billing,High,9,1
3753,5621,Billing,Low,20,3
3754,10326,Login,Medium,5,1
3755,12712,Speed,Medium,15,4
3756,896,Billing,Medium,3,5
3757,4425,Billing,Low,5,1
3758,3057,Technical,High,3,2
3759,620,Speed,High,11,5
3760,8734,Login,High,20,4
3761,11324,Refund,Medium,20,3
3762,1173,Billing,Low,15,4
3763,2022,Billing,High,10,1
3764,3362,Refund,Medium,16,2
3765,8550,Network,Low,8,3
3766,8617,Speed,Low,19,4
3767,11061,Billing,Medium,6,2
3768,13678,Billing,High,7,5
3769,6637,Billing,Medium,17,1
3770,3921,Network,High,9,3
3771,721,Refund,Low,18,2
3772,10600,Network,High,16,4
3773,3627,Refund,High,3,1
3774,10883,Billing,Medium,17,1
3775,2630,Network,Low,20,1
3776,8673,Billing,Medium,1,3
3777,85,Network,High,4,5
3778,11985,Refund,Low,5,2
3779,1006,Network,High,17,1
3780,9645,Billing,Medium,1,3
3781,2077,Network,Low,3,5
3782,2639,Login,Medium,7,2
3783,7596,Speed,Medium,3,5
3784,9510,Login,Medium,18,2
3785,8077,Refund,High,17,1
3786,6763,Login,High,9,1
3787,8574,Technical,High,5,2
3788,4689,Billing,Low,1,3
3789,7877,Login,Low,17,3
3790,3198,Refund,High,2,3
3791,4624,Billing,Medium,13,5
3792,12827,Network,Low,19,1
3793,6395,Billing,Medium,5,3
3794,9228,Speed,Medium,14,5
3795,4488,Speed,Low,4,5
3796,6000,Technical,High,6,2
3797,869,Technical,Medium,16,4
3798,1997,Technical,Low,11,4
3799,8605,Billing,High,17,4
3800,5856,Refund,Low,4,1
3801,5559,Refund,High,11,3
3802,13772,Network,Medium,12,1
3803,7160,Billing,Medium,15,5
3804,4176,Login,Low,3,1
3805,7192,Refund,Low,2,5
3806,4386,Billing,Medium,19,3
3807,7645,Network,Medium,9,5
3808,6214,Technical,High,13,2
3809,11386,Login,Medium,14,1
3810,6116,Refund,Medium,13,1
3811,3499,Billing,Medium,6,2
3812,7009,Login,Medium,4,2
3813,10051,Refund,Medium,20,2
3814,3045,Refund,Low,7,4
3815,8385,Refund,High,14,5
3816,11050,Login,High,14,4
3817,7250,Billing,High,20,3
3818,13894,Billing,High,18,5
3819,2398,Network,Medium,19,5
3820,9047,Refund,Low,11,3
3821,8405,Technical,Medium,19,4
3822,2596,Billing,High,9,1
3823,1642,Network,High,3,2
3824,6941,Network,Low,2,1
3825,2788,Speed,High,8,5
3826,8891,Technical,High,3,5
3827,2203,Technical,High,19,1
3828,11061,Technical,High,7,2
3829,14854,Login,Low,4,4
3830,6397,Billing,Low,5,3
3831,4250,Billing,High,20,4
3832,3419,Speed,Low,17,2
3833,2927,Login,Medium,5,3
3834,13692,Technical,Low,18,4
3835,13130,Refund,Low,15,4
3836,1370,Technical,Medium,11,3
3837,4063,Network,Medium,8,3
3838,14366,Speed,High,19,3
3839,1040,Billing,Low,10,2
3840,668,Speed,High,16,1
3841,6690,Login,High,20,3
3842,7744,Refund,Medium,5,5
3843,8912,Speed,High,6,2
3844,9672,Technical,High,8,1
3845,7659,Refund,High,10,3
3846,2460,Technical,High,10,5
3847,3345,Speed,Medium,1,1
3848,3405,Refund,Medium,20,5
3849,13483,Billing,Low,8,1
3850,6818,Refund,High,20,1
3851,14595,Login,Medium,9,5
3852,928,Login,High,12,3
3853,6968,Refund,Medium,11,5
3854,12658,Login,Low,13,5
3855,14217,Technical,Low,12,3
3856,6143,Refund,Low,15,3
3857,6502,Speed,Low,18,1
3858,486,Technical,Low,15,2
3859,1150,Technical,Low,14,4
3860,6270,Network,High,3,5
3861,13011,Speed,Medium,9,2
3862,968,Refund,High,6,2
3863,7918,Login,High,11,1
3864,1965,Refund,Low,9,4
3865,3841,Billing,Medium,1,1
3866,280,Login,Medium,8,1
3867,800,Network,Low,7,3
3868,1074,Login,Medium,13,2
3869,3644,Refund,Low,17,2
3870,1305,Technical,High,9,1
3871,3199,Billing,High,16,4
3872,606,Speed,Low,13,3
3873,11141,Speed,Low,5,5
3874,1876,Speed,High,10,3
3875,10080,Network,Medium,7,3
3876,9495,Billing,Medium,17,3
3877,3158,Billing,Medium,10,3
3878,7426,Speed,Low,7,1
3879,1861,Login,Low,1,4
3880,2341,Network,Medium,1,3
3881,735,Network,Low,10,1
3882,6740,Login,High,11,5
3883,8242,Login,Medium,9,1
3884,435,Network,Medium,12,4
3885,8538,Speed,Low,7,5
3886,641,Billing,High,7,2
3887,9853,Billing,Low,3,4
3888,11603,Billing,Low,17,5
3889,7741,Speed,High,14,5
3890,4718,Refund,Medium,17,2
3891,8108,Technical,Medium,14,4
3892,9,Login,High,13,1
3893,2148,Speed,High,18,4
3894,14846,Refund,Medium,17,5
3895,2489,Network,Medium,1,2
3896,61,Login,Medium,15,3
3897,695,Network,Medium,9,2
3898,3740,Speed,Low,7,5
3899,4549,Billing,High,3,5
3900,7159,Network,Low,4,5
3901,11204,Speed,Medium,11,4
3902,5256,Billing,High,9,1
3903,3539,Billing,Low,14,1
3904,9223,Billing,Medium,14,5
3905,9816,Billing,High,3,1
3906,7365,Network,High,5,3
3907,3290,Technical,Medium,18,2
3908,5687,Speed,Medium,4,3
3909,14492,Billing,High,12,2
3910,14677,Login,High,2,3
3911,14880,Billing,Medium,15,5
3912,5372,Network,Medium,15,5
3913,2717,Login,Low,1,2
3914,5302,Login,Low,1,2
3915,9281,Login,Medium,2,4
3916,4911,Billing,Medium,2,2
3917,7476,Speed,Medium,11,4
3918,2845,Refund,High,18,4
3919,3371,Refund,High,18,1
3920,1622,Network,Medium,20,4
3921,8882,Login,High,12,5
3922,10485,Technical,Low,7,2
3923,8879,Billing,Medium,13,3
3924,4672,Network,Low,14,3
3925,14791,Speed,Low,7,4
3926,7386,Speed,High,15,5
3927,11323,Login,High,18,2
3928,11162,Billing,High,5,1
3929,1871,Refund,Low,10,1
3930,9747,Speed,Low,13,3
3931,7834,Network,Medium,17,1
3932,7266,Refund,High,8,1
3933,14403,Speed,Low,2,2
3934,13550,Technical,High,9,4
3935,9229,Technical,Low,4,5
3936,6713,Login,Low,9,2
3937,6022,Speed,Medium,14,3
3938,1922,Login,Medium,18,1
3939,10294,Billing,Low,15,5
3940,14356,Technical,High,18,2
3941,11180,Refund,Low,11,2
3942,530,Billing,High,9,2
3943,3966,Speed,Low,14,4
3944,10202,Refund,Medium,11,5
3945,4943,Login,Medium,13,5
3946,9994,Login,High,18,1
3947,7890,Billing,Low,2,5
3948,11283,Technical,High,16,5
3949,10579,Network,Medium,14,4
3950,828,Billing,Low,16,3
3951,12460,Technical,Low,4,5
3952,11036,Billing,Medium,9,5
3953,7879,Refund,High,7,4
3954,11377,Login,Low,19,3
3955,3073,Network,Medium,17,5
3956,1523,Refund,Low,15,2
3957,8577,Billing,Medium,11,1
3958,865,Refund,High,11,1
3959,10476,Network,Low,6,5
3960,9637,Network,Low,20,1
3961,5465,Speed,Medium,13,2
3962,8251,Login,High,8,2
3963,12915,Login,Medium,14,5
3964,2042,Network,Medium,1,1
3965,144,Login,Low,1,3
3966,12440,Speed,Low,1,2
3967,14989,Technical,Low,6,1
3968,12140,Network,Medium,13,5
3969,14212,Network,Medium,8,1
3970,5979,Speed,Medium,7,1
3971,11622,Refund,Low,2,2
3972,3921,Technical,High,12,4
3973,13916,Technical,Low,18,3
3974,6625,Technical,High,5,5
3975,11783,Technical,High,20,2
3976,8005,Billing,High,15,5
3977,13235,Speed,Medium,20,2
3978,4338,Network,High,6,1
3979,4274,Technical,Low,7,1
3980,919,Technical,Low,16,1
3981,2209,Speed,Low,2,1
3982,14348,Login,Medium,5,4
3983,3920,Refund,High,17,2
3984,12426,Speed,High,16,2
3985,9507,Technical,Medium,10,4
3986,4060,Refund,Low,14,3
3987,2862,Speed,Low,9,1
3988,9460,Refund,Low,2,4
3989,13874,Login,High,3,5
3990,13080,Login,Low,8,5
3991,1490,Billing,Low,9,5
3992,302,Refund,High,1,2
3993,6076,Refund,High,9,5
3994,13431,Network,High,13,1
3995,3905,Billing,Medium,17,3
3996,14915,Billing,High,5,1
3997,10168,Billing,Low,12,5
3998,11996,Login,Low,15,2
3999,3419,Refund,Medium,16,5
4000,7378,Speed,Medium,7,3
4001,5993,Refund,High,14,1
4002,5821,Technical,Medium,5,4
4003,11221,Technical,High,15,5
4004,4079,Technical,Medium,8,2
4005,3212,Login,High,16,5
4006,9731,Network,Medium,10,4
4007,6538,Speed,Low,6,3
4008,11543,Billing,High,12,3
4009,13873,Speed,High,16,3
4010,3557,Technical,Medium,13,1
4011,9181,Refund,Low,6,2
4012,5153,Refund,Low,3,2
4013,5700,Login,High,11,2
4014,8586,Technical,High,16,3
4015,5011,Billing,Low,1,5
4016,8490,Login,High,16,3
4017,72,Billing,High,6,1
4018,8480,Network,Low,5,2
4019,8726,Network,Medium,1,1
4020,9856,Speed,Medium,13,2
4021,1331,Technical,Medium,3,3
4022,10526,Speed,High,14,5
4023,10756,Network,Low,16,5
4024,12566,Billing,Medium,8,2
4025,5137,Billing,High,2,4
4026,73,Technical,High,13,2
4027,7654,Refund,Medium,11,2
4028,387,Login,Medium,20,1
4029,1663,Refund,Low,7,5
4030,170,Speed,High,14,5
4031,12867,Network,Medium,11,3
4032,3388,Technical,High,11,3
4033,13367,Login,Low,20,1
4034,5854,Network,Medium,1,3
4035,12435,Network,High,14,2
4036,4120,Refund,Medium,15,5
4037,11775,Login,Medium,9,2
4038,14558,Technical,Low,11,2
4039,5329,Technical,Medium,17,2
4040,9304,Login,Low,13,5
4041,14692,Refund,Low,6,1
4042,11840,Login,Medium,9,2
4043,2040,Technical,Low,2,2
4044,9292,Speed,Medium,20,2
4045,10565,Billing,Low,9,5
4046,11785,Refund,High,18,2
4047,12441,Refund,High,6,5
4048,9256,Network,Medium,14,4
4049,5304,Refund,Low,3,5
4050,2673,Billing,Medium,14,4
4051,11184,Refund,Low,16,2
4052,8177,Billing,Medium,6,2
4053,11021,Network,Medium,17,1
4054,10846,Technical,High,7,4
4055,8370,Network,Medium,3,2
4056,6026,Billing,High,17,4
4057,2376,Refund,Low,3,2
4058,1771,Technical,High,7,2
4059,10004,Login,Medium,3,4
4060,13242,Technical,Low,18,4
4061,330,Technical,Low,4,5
4062,7648,Speed,Medium,7,3
4063,5159,Technical,Low,6,2
4064,6355,Refund,High,9,3
4065,9939,Technical,Medium,10,3
4066,12621,Refund,Medium,18,3
4067,11151,Network,High,9,4
4068,406,Refund,High,3,1
4069,9606,Login,Low,1,2
4070,455,Technical,Low,3,4
4071,2109,Network,High,20,4
4072,2450,Login,High,15,4
4073,10442,Speed,High,20,5
4074,8533,Technical,Medium,1,3
4075,7213,Refund,Low,18,4
4076,105,Speed,Low,20,3
4077,1802,Technical,High,9,5
4078,10710,Technical,Medium,1,4
4079,13453,Speed,High,15,5
4080,12680,Network,High,20,4
4081,8640,Billing,High,16,4
4082,2406,Login,Medium,20,4
4083,6048,Refund,Low,8,3
4084,4579,Login,Low,15,3
4085,3249,Billing,High,9,3
4086,13412,Network,High,3,3
4087,8633,Speed,Low,13,2
4088,7079,Refund,High,2,2
4089,670,Speed,High,13,5
4090,312,Billing,Low,15,1
4091,11985,Refund,High,15,3
4092,4952,Speed,High,18,1
4093,3000,Billing,Medium,10,4
4094,8087,Speed,Medium,15,1
4095,12912,Network,Low,19,4
4096,12258,Network,Low,20,4
4097,13633,Technical,Low,7,5
4098,12843,Technical,High,20,5
4099,3611,Speed,Low,6,3
4100,14772,Technical,Medium,6,4
4101,8338,Network,Low,4,3
4102,13023,Refund,Low,7,4
4103,9701,Technical,Medium,18,4
4104,1614,Refund,High,10,4
4105,3355,Technical,Low,3,1
4106,12478,Speed,High,7,1
4107,13877,Login,Low,2,3
4108,12862,Technical,Medium,18,1
4109,5838,Technical,High,9,3
4110,6846,Speed,High,12,5
4111,10393,Billing,Low,8,2
4112,13142,Billing,Low,6,2
4113,9085,Refund,Medium,2,1
4114,10851,Refund,Low,9,5
4115,4106,Billing,Medium,11,2
4116,5607,Login,High,2,4
4117,12872,Technical,High,1,1
4118,3186,Billing,High,9,1
4119,1871,Login,High,17,2
4120,13780,Login,High,4,4
4121,2875,Network,Medium,16,3
4122,7936,Login,Medium,20,3
4123,12195,Refund,High,5,1
4124,10666,Refund,High,1,4
4125,13313,Refund,Low,10,3
4126,9095,Network,Low,10,5
4127,8121,Billing,Low,7,4
4128,7170,Refund,Medium,19,2
4129,8934,Billing,Medium,14,3
4130,4810,Network,Medium,19,3
4131,8112,Billing,High,5,3
4132,7873,Speed,Medium,6,3
4133,12604,Technical,High,11,3
4134,9836,Refund,Low,8,5
4135,12542,Billing,Medium,9,2
4136,4748,Billing,High,20,5
4137,14704,Login,Medium,14,1
4138,14280,Network,High,17,3
4139,11778,Speed,High,2,1
4140,10110,Refund,Medium,1,5
4141,640,Login,Medium,5,3
4142,2837,Technical,High,11,4
4143,14424,Technical,Low,16,2
4144,3794,Login,Low,11,1
4145,4216,Technical,High,9,3
4146,12067,Billing,Medium,19,3
4147,11521,Billing,Low,2,1
4148,14996,Technical,High,2,3
4149,10595,Login,Medium,16,4
4150,14957,Billing,Low,8,1
4151,2258,Refund,Low,14,2
4152,14296,Refund,Medium,18,1
4153,1273,Billing,High,2,5
4154,14678,Speed,High,16,2
4155,7792,Login,Medium,14,2
4156,4091,Billing,High,7,2
4157,141,Billing,Medium,9,4
4158,13039,Refund,High,10,2
4159,9558,Network,Low,18,3
4160,12957,Billing,High,19,1
4161,3506,Refund,Medium,3,4
4162,10991,Refund,High,6,3
4163,13115,Refund,Medium,6,2
4164,3872,Technical,Medium,13,4
4165,10771,Network,Low,9,2
4166,12861,Refund,Low,18,3
4167,13607,Technical,High,11,1
4168,10219,Speed,High,13,5
4169,11446,Login,High,3,2
4170,2344,Speed,Medium,8,2
4171,2583,Technical,Low,6,4
4172,9747,Speed,Medium,19,5
4173,13712,Login,Medium,4,1
4174,2032,Network,Medium,15,2
4175,13713,Login,Low,2,4
4176,4185,Login,Medium,18,1
4177,5769,Technical,High,8,2
4178,11075,Login,Medium,15,5
4179,12816,Network,Medium,2,5
4180,7774,Network,High,11,5
4181,4044,Billing,Low,11,2
4182,4767,Technical,Medium,3,1
4183,7273,Network,Medium,1,1
4184,5810,Network,Low,6,3
4185,4300,Network,Medium,8,5
4186,3039,Billing,Medium,1,3
4187,43,Billing,Low,14,3
4188,7778,Login,Medium,11,1
4189,11042,Billing,Medium,16,4
4190,13793,Technical,Medium,14,5
4191,9538,Technical,High,19,1
4192,12694,Technical,Low,19,4
4193,12029,Technical,High,7,2
4194,2669,Login,High,1,1
4195,2223,Refund,Low,20,5
4196,12829,Technical,Medium,7,2
4197,1364,Technical,Low,17,5
4198,1688,Speed,High,13,1
4199,13474,Refund,Medium,7,2
4200,13610,Speed,High,8,3
4201,2044,Refund,Medium,2,1
4202,14466,Refund,High,19,2
4203,235,Network,High,11,3
4204,3404,Login,High,6,4
4205,9082,Network,High,17,5
4206,6297,Speed,Low,9,1
4207,6302,Technical,Medium,12,4
4208,3626,Login,High,15,4
4209,13195,Technical,Medium,4,4
4210,14840,Billing,High,2,5
4211,13688,Billing,High,18,5
4212,1880,Speed,Medium,11,4
4213,7666,Technical,Medium,1,1
4214,5087,Speed,Low,13,4
4215,12636,Billing,High,8,3
4216,4787,Refund,High,1,2
4217,13745,Technical,Medium,13,2
4218,9296,Login,Low,15,2
4219,13689,Billing,High,20,1
4220,12976,Technical,Medium,2,3
4221,12464,Technical,Low,10,5
4222,2296,Billing,Low,8,4
4223,12596,Refund,Low,3,1
4224,11742,Network,Medium,8,2
4225,1882,Speed,Low,11,2
4226,13024,Refund,Low,3,2
4227,8449,Login,Medium,17,2
4228,4008,Billing,High,11,2
4229,9503,Network,Low,13,1
4230,10413,Technical,Medium,15,4
4231,3563,Speed,High,19,3
4232,3849,Refund,Low,10,1
4233,4002,Billing,Medium,1,1
4234,1496,Network,Low,12,5
4235,10973,Network,Medium,2,1
4236,7190,Refund,High,15,4
4237,10216,Refund,High,16,1
4238,6413,Billing,Medium,17,3
4239,4562,Speed,High,19,1
4240,5468,Refund,Medium,17,2
4241,3811,Technical,Medium,12,3
4242,7572,Network,High,18,5
4243,9981,Refund,High,8,2
4244,8577,Billing,High,20,1
4245,11181,Login,Medium,3,1
4246,1570,Login,Low,18,5
4247,14600,Refund,High,8,4
4248,2689,Technical,Medium,10,4
4249,3800,Refund,High,11,4
4250,2370,Speed,High,15,4
4251,12051,Billing,Low,17,3
4252,3503,Refund,Low,18,5
4253,859,Technical,High,6,1
4254,10972,Network,High,6,5
4255,8964,Billing,High,7,4
4256,10051,Billing,High,6,2
4257,14968,Login,Low,4,1
4258,10136,Technical,Medium,7,3
4259,1397,Speed,Medium,12,4
4260,2499,Network,High,12,1
4261,11948,Speed,High,14,1
4262,14277,Billing,High,15,5
4263,6523,Refund,Medium,19,3
4264,14739,Speed,High,13,1
4265,8734,Speed,Medium,6,2
4266,3058,Technical,Low,3,5
4267,9213,Login,Medium,15,4
4268,675,Network,High,5,5
4269,6775,Technical,High,15,1
4270,12917,Billing,Medium,4,5
4271,13578,Speed,Medium,10,2
4272,709,Network,Medium,7,4
4273,12884,Technical,High,19,3
4274,6246,Billing,Medium,17,2
4275,586,Billing,Low,8,4
4276,9573,Login,Low,18,4
4277,5011,Network,Medium,17,1
4278,2793,Billing,Medium,9,5
4279,1686,Login,High,12,1
4280,6905,Login,High,4,1
4281,13429,Billing,High,14,5
4282,5806,Refund,Low,12,4
4283,481,Network,Low,15,2
4284,8959,Login,High,11,4
4285,3743,Technical,Low,14,5
4286,12834,Refund,Medium,3,1
4287,7890,Network,High,18,4
4288,2179,Login,Low,10,1
4289,10878,Billing,Medium,4,1
4290,7548,Speed,High,10,1
4291,6894,Login,Low,19,4
4292,14469,Speed,Low,20,3
4293,2567,Speed,Low,12,5
4294,2975,Login,High,6,1
4295,8142,Refund,High,11,5
4296,7022,Technical,Low,4,5
4297,11316,Technical,Medium,1,5
4298,13259,Speed,Low,3,1
4299,136,Billing,Low,8,2
4300,2730,Speed,Medium,16,5
4301,1426,Network,High,13,1
4302,1731,Network,High,2,1
4303,11341,Speed,High,8,5
4304,14362,Technical,Low,6,3
4305,5316,Technical,Medium,5,5
4306,1977,Billing,Medium,9,2
4307,10832,Network,High,16,5
4308,9656,Speed,High,20,3
4309,205,Login,Medium,10,3
4310,3086,Network,High,8,4
4311,545,Technical,Low,17,5
4312,3528,Speed,Low,3,2
4313,8927,Network,Low,18,2
4314,8706,Refund,Medium,13,5
4315,11053,Technical,Low,1,5
4316,6118,Technical,Low,12,5
4317,9270,Refund,Low,4,2
4318,11298,Network,Low,6,1
4319,10972,Speed,Low,11,2
4320,10771,Billing,Medium,20,1
4321,6923,Network,Low,14,3
4322,9223,Login,Medium,18,3
4323,2638,Billing,High,15,4
4324,7020,Billing,Low,19,1
4325,263,Network,Low,1,1
4326,7532,Network,Low,20,2
4327,14589,Refund,Low,1,2
4328,1118,Technical,Medium,12,3
4329,9766,Billing,High,1,4
4330,9009,Technical,Low,18,1
4331,9242,Technical,High,17,2
4332,5023,Speed,Low,20,5
4333,10075,Login,High,14,4
4334,5629,Refund,High,17,4
4335,6623,Network,High,9,3
4336,3716,Speed,Low,6,3
4337,5581,Technical,High,2,4
4338,3138,Login,Medium,15,1
4339,11179,Refund,Low,11,5
4340,14396,Billing,Medium,15,5
4341,8382,Technical,High,15,4
4342,11883,Speed,Medium,6,5
4343,12782,Refund,Medium,16,1
4344,3369,Speed,Low,10,5
4345,7657,Login,High,1,4
4346,13354,Refund,High,1,2
4347,3174,Refund,High,8,1
4348,3259,Billing,High,8,4
4349,13159,Technical,Low,4,4
4350,6006,Speed,High,2,3
4351,419,Speed,Medium,15,4
4352,4677,Speed,Medium,8,4
4353,2937,Network,Medium,15,4
4354,11682,Refund,Medium,5,4
4355,10100,Billing,Medium,4,3
4356,2100,Billing,Low,15,3
4357,3522,Technical,Medium,6,2
4358,4825,Technical,Low,12,4
4359,1516,Network,Low,13,4
4360,5584,Technical,High,2,4
4361,6203,Technical,Medium,7,4
4362,12997,Billing,High,15,4
4363,1521,Technical,Low,18,4
4364,5186,Billing,Low,9,4
4365,13785,Refund,High,16,4
4366,2414,Billing,High,8,1
4367,13427,Login,Low,5,1
4368,2131,Billing,High,7,2
4369,13906,Login,Medium,10,3
4370,13768,Login,High,6,2
4371,7633,Speed,High,17,1
4372,6620,Login,Medium,7,1
4373,11201,Speed,High,9,1
4374,2330,Technical,Low,15,3
4375,2085,Technical,Low,12,3
4376,4622,Technical,Low,13,5
4377,10749,Refund,High,6,3
4378,11266,Technical,Medium,14,1
4379,465,Network,Low,9,1
4380,10089,Network,High,6,4
4381,2961,Billing,High,12,3
4382,283,Speed,Low,13,2
4383,6116,Technical,High,19,3
4384,4838,Billing,Low,5,5
4385,6663,Network,High,20,2
4386,2470,Network,High,4,4
4387,8350,Network,Low,6,5
4388,2370,Technical,High,12,5
4389,12742,Technical,High,19,4
4390,2666,Network,Low,15,3
4391,2501,Billing,Medium,16,3
4392,8308,Login,Medium,12,2
4393,7927,Speed,Medium,20,3
4394,2660,Login,Low,13,5
4395,5284,Technical,Low,15,2
4396,13938,Billing,Low,5,1
4397,8087,Billing,Low,16,4
4398,13928,Refund,Medium,5,2
4399,12330,Network,Low,15,1
4400,5165,Billing,Medium,10,3
4401,196,Refund,High,9,2
4402,6701,Technical,Low,1,2
4403,2565,Billing,High,4,5
4404,13996,Refund,High,20,5
4405,1615,Speed,High,6,2
4406,12703,Login,Low,20,3
4407,693,Billing,Medium,6,3
4408,4741,Login,High,13,1
4409,10315,Technical,High,11,3
4410,7,Network,High,12,1
4411,7798,Refund,Low,18,5
4412,7623,Technical,High,11,3
4413,5112,Login,Medium,19,1
4414,8958,Speed,Medium,3,2
4415,14298,Technical,High,18,5
4416,4700,Billing,High,18,1
4417,7786,Refund,High,5,5
4418,12062,Network,Medium,17,2
4419,4792,Technical,High,8,2
4420,4322,Technical,Medium,8,1
4421,12167,Speed,Low,19,4
4422,4354,Billing,High,16,4
4423,10148,Technical,High,17,5
4424,13949,Billing,High,3,1
4425,11779,Network,High,4,3
4426,6453,Login,Low,2,3
4427,8300,Technical,Medium,19,3
4428,11423,Technical,Medium,19,4
4429,11333,Billing,Low,1,3
4430,8069,Network,Low,2,4
4431,9553,Technical,High,9,4
4432,14595,Billing,Low,2,3
4433,6706,Network,Medium,7,3
4434,926,Billing,Low,3,5
4435,5925,Speed,Low,9,4
4436,8088,Billing,Low,17,5
4437,1154,Network,Medium,12,3
4438,8593,Network,Medium,12,3
4439,10353,Billing,Medium,15,3
4440,1957,Login,Low,15,3
4441,12436,Login,Medium,1,3
4442,9296,Login,High,2,3
4443,616,Network,Low,5,3
4444,10064,Billing,Medium,9,1
4445,12032,Technical,Low,15,5
4446,4443,Refund,High,6,3
4447,5111,Billing,Medium,19,3
4448,5768,Refund,Low,1,5
4449,14051,Technical,High,10,1
4450,2186,Network,High,8,3
4451,9630,Billing,High,1,1
4452,6094,Login,Medium,3,1
4453,11274,Billing,Low,15,2
4454,8926,Login,Low,20,3
4455,14193,Billing,High,15,3
4456,17,Network,Medium,12,2
4457,6333,Refund,High,6,4
4458,6906,Login,Low,14,2
4459,2673,Speed,Low,14,4
4460,8259,Network,High,16,2
4461,4483,Billing,Medium,7,2
4462,3472,Technical,Medium,2,5
4463,14044,Speed,Medium,2,5
4464,12079,Login,Low,12,2
4465,4825,Refund,High,1,2
4466,9743,Speed,Low,11,1
4467,5226,Speed,Low,5,5
4468,3721,Speed,Low,16,4
4469,789,Billing,High,10,5
4470,3919,Login,Low,18,4
4471,3641,Speed,Low,19,1
4472,13333,Refund,High,19,1
4473,12345,Speed,Medium,7,2
4474,14952,Billing,Low,12,3
4475,7371,Speed,High,11,1
4476,5611,Refund,High,20,4
4477,6103,Technical,Medium,6,2
4478,4966,Speed,Low,14,1
4479,12914,Login,Medium,8,4
4480,7225,Network,Low,7,5
4481,12056,Refund,Low,4,2
4482,6549,Network,High,14,1
4483,3012,Refund,Low,6,4
4484,7667,Speed,Medium,19,4
4485,14652,Technical,High,4,3
4486,11404,Billing,High,3,4
4487,11241,Login,High,11,2
4488,6205,Refund,High,19,4
4489,10870,Refund,Low,8,5
4490,9546,Network,Low,16,3
4491,7205,Login,Low,11,3
4492,534,Network,Medium,14,1
4493,6457,Technical,Medium,8,1
4494,2597,Speed,Low,11,3
4495,10659,Billing,High,19,4
4496,11926,Login,Medium,8,3
4497,5720,Refund,High,5,5
4498,14340,Technical,Medium,3,4
4499,13549,Speed,Medium,3,3
4500,14237,Speed,Low,4,4
4501,1647,Speed,Medium,9,2
4502,1221,Login,Low,2,2
4503,10352,Login,Low,8,5
4504,66,Network,High,9,2
4505,14436,Speed,Medium,4,5
4506,2070,Technical,Low,1,4
4507,10157,Billing,High,6,1
4508,13945,Refund,High,16,1
4509,11845,Billing,High,11,3
4510,2813,Refund,Medium,18,1
4511,3239,Speed,Low,18,2
4512,14568,Login,Medium,7,1
4513,1411,Login,Low,2,1
4514,9020,Refund,Low,10,5
4515,633,Network,Medium,7,1
4516,11637,Refund,Medium,14,5
4517,13174,Network,Low,10,5
4518,5081,Login,High,14,1
4519,13419,Billing,Low,2,1
4520,6443,Network,High,4,2
4521,8174,Refund,Low,15,4
4522,14593,Login,Low,5,5
4523,6940,Login,Medium,1,4
4524,319,Network,High,18,1
4525,4819,Speed,Medium,17,4
4526,9155,Login,Medium,6,4
4527,1091,Login,High,16,2
4528,6977,Login,Medium,4,4
4529,6666,Billing,Medium,8,1
4530,6142,Speed,High,5,2
4531,4485,Technical,Medium,15,2
4532,9163,Technical,High,6,3
4533,1644,Technical,Medium,18,2
4534,12464,Technical,Medium,12,5
4535,14373,Speed,Medium,9,2
4536,10435,Network,High,8,2
4537,6756,Refund,High,3,3
4538,4405,Network,High,8,5
4539,4161,Technical,High,9,1
4540,2277,Technical,Low,18,4
4541,9495,Technical,Low,5,2
4542,664,Refund,Low,5,1
4543,5673,Refund,Low,7,2
4544,14528,Technical,Low,19,3
4545,8308,Network,Medium,3,1
4546,1923,Login,Low,8,2
4547,14538,Billing,Low,5,1
4548,14270,Network,Low,11,1
4549,14655,Login,Medium,9,4
4550,6637,Network,Low,4,4
4551,3497,Speed,Low,2,4
4552,507,Network,Low,10,1
4553,531,Login,High,14,1
4554,610,Billing,Medium,20,3
4555,1607,Speed,Low,3,1
4556,6432,Speed,Low,5,1
4557,5296,Login,Low,1,4
4558,12376,Speed,Low,1,3
4559,14008,Billing,Low,17,3
4560,8428,Speed,Low,20,3
4561,752,Login,Low,18,1
4562,1952,Network,Low,12,1
4563,3082,Technical,Low,8,5
4564,2586,Technical,Medium,14,2
4565,3320,Speed,High,11,1
4566,3278,Speed,Low,9,3
4567,13390,Refund,High,18,5
4568,6871,Refund,Medium,12,2
4569,14172,Refund,Low,13,2
4570,13473,Technical,Medium,18,2
4571,9775,Technical,Medium,12,5
4572,13417,Technical,High,6,5
